time,current price,day high,day low
2023-09-28 15:01:37,38.30,39.20,38.00
2023-09-28 15:01:56,38.30,39.20,38.00
2023-09-28 15:04:51,38.25,39.20,38.00
2023-09-28 15:24:14,38.12,39.20,38.00
2023-09-28 15:24:37,38.12,39.20,38.00
2023-09-28 15:29:11,38.12,39.20,38.00
2023-09-28 15:29:34,38.12,39.20,38.00
2023-09-28 15:38:22,38.12,39.20,38.00
2023-09-28 15:38:35,38.12,39.20,38.00
2023-09-28 15:40:56,38.12,39.20,38.00
2023-09-28 15:41:04,38.12,39.20,38.00
2023-09-28 18:46:04,38.25,39.20,38.00
2023-09-28 18:46:20,38.25,39.20,38.00
2023-09-28 18:50:00,38.25,39.20,38.00
2023-09-29 10:09:47,38.25,39.20,38.00
2023-09-29 10:09:47,38.25,39.20,38.00
