time,current price,day high,day low
2023-09-28 15:01:34,4.10,4.21,4.00
2023-09-28 15:01:54,4.10,4.21,4.00
2023-09-28 15:04:48,4.10,4.21,4.00
2023-09-28 15:24:12,4.10,4.21,4.00
2023-09-28 15:24:34,4.10,4.21,4.00
2023-09-28 15:29:09,4.10,4.21,4.00
2023-09-28 15:29:31,4.10,4.21,4.00
2023-09-28 15:37:43,4.10,4.21,4.00
2023-09-28 15:38:31,4.10,4.21,4.00
2023-09-28 15:40:48,4.10,4.21,4.00
2023-09-28 15:41:00,4.10,4.21,4.00
2023-09-28 16:13:05,4.10,4.21,4.00
2023-09-28 16:15:18,4.10,4.21,4.00
2023-09-28 18:45:57,4.10,4.21,4.00
2023-09-28 18:46:12,4.10,4.21,4.00
2023-09-28 18:49:55,4.10,4.21,4.00
2023-09-29 10:09:41,4.10,4.21,4.00
2023-09-29 10:09:42,4.10,4.21,4.00
