time,current price,day high,day low
2023-09-28 15:01:34,43.95,43.95,39.82
2023-09-28 15:01:53,43.95,43.95,39.82
2023-09-28 15:04:47,43.95,43.95,39.82
2023-09-28 15:24:12,43.95,43.95,39.82
2023-09-28 15:24:33,43.95,43.95,39.82
2023-09-28 15:29:09,43.95,43.95,39.82
2023-09-28 15:29:31,43.95,43.95,39.82
2023-09-28 15:37:42,43.95,43.95,39.82
2023-09-28 15:38:30,43.95,43.95,39.82
2023-09-28 15:40:46,43.95,43.95,39.82
2023-09-28 15:40:59,43.95,43.95,39.82
2023-09-28 16:13:04,43.95,43.95,39.82
2023-09-28 16:15:18,43.95,43.95,39.82
2023-09-28 18:45:57,43.95,43.95,39.82
2023-09-28 18:46:09,43.95,43.95,39.82
2023-09-28 18:49:55,43.95,43.95,39.82
2023-09-29 10:09:39,45.99,46.10,42.00
2023-09-29 10:09:40,45.99,46.10,42.00
