time,current price,day high,day low
2023-09-28 15:01:45,349.65,359.40,349.65
2023-09-28 15:02:04,349.65,359.40,349.65
2023-09-28 15:04:58,348.40,359.40,348.40
2023-09-28 15:24:22,348.00,359.40,347.05
2023-09-28 15:24:44,348.00,359.40,347.05
2023-09-28 15:29:20,347.55,359.40,347.05
2023-09-28 15:29:43,347.55,359.40,347.05
2023-09-28 15:38:36,347.55,359.40,347.05
2023-09-28 15:38:49,347.55,359.40,347.05
2023-09-28 15:41:07,347.55,359.40,347.05
2023-09-28 15:41:14,347.55,359.40,347.05
2023-09-28 18:46:24,348.05,359.40,347.05
2023-09-28 18:46:34,348.05,359.40,347.05
2023-09-28 18:50:17,348.05,359.40,347.05
2023-09-29 10:10:03,353.25,353.60,348.80
2023-09-29 10:10:04,353.25,353.60,348.80
