time,current price,day high,day low
2023-09-28 15:01:56,442.55,461.95,439.05
2023-09-28 15:02:15,443.05,461.95,439.05
2023-09-28 15:05:15,443.05,461.95,439.05
2023-09-28 15:24:35,445.50,461.95,439.05
2023-09-28 15:24:55,445.50,461.95,439.05
2023-09-28 15:29:32,443.20,461.95,439.05
2023-09-28 15:29:56,443.20,461.95,439.05
2023-09-28 15:39:15,443.70,461.95,439.05
2023-09-28 15:39:28,443.70,461.95,439.05
2023-09-28 18:46:51,443.85,461.95,439.05
2023-09-28 18:47:07,443.85,461.95,439.05
2023-09-29 10:10:23,439.35,448.45,439.35
2023-09-29 10:10:23,439.35,448.45,439.35
