time,current price,day high,day low
2023-09-28 15:01:33,164.90,170.65,164.35
2023-09-28 15:01:53,164.90,170.65,164.35
2023-09-28 15:04:46,165.40,170.65,164.35
2023-09-28 15:24:11,166.75,170.65,164.35
2023-09-28 15:24:32,166.75,170.65,164.35
2023-09-28 15:29:07,166.45,170.65,164.35
2023-09-28 15:29:31,166.45,170.65,164.35
2023-09-28 15:37:41,166.95,170.65,164.35
2023-09-28 15:38:29,166.95,170.65,164.35
2023-09-28 15:40:44,166.95,170.65,164.35
2023-09-28 15:40:58,166.95,170.65,164.35
2023-09-28 16:13:02,166.95,170.65,164.35
2023-09-28 16:15:15,166.95,170.65,164.35
2023-09-28 18:45:55,165.80,170.65,164.35
2023-09-28 18:46:07,165.80,170.65,164.35
2023-09-28 18:49:53,165.80,170.65,164.35
2023-09-29 10:09:38,167.95,169.20,165.15
2023-09-29 10:09:38,167.95,169.20,165.15
