time,current price,day high,day low
2023-09-28 15:01:57,105.00,108.95,104.80
2023-09-28 15:02:16,105.00,108.95,104.80
2023-09-28 15:05:18,105.00,108.95,104.80
2023-09-28 15:24:36,105.50,108.95,104.80
2023-09-28 15:24:57,105.50,108.95,104.80
2023-09-28 15:29:33,106.00,108.95,104.80
2023-09-28 15:29:57,106.00,108.95,104.80
2023-09-28 15:39:23,106.00,108.95,104.80
2023-09-28 15:39:30,106.00,108.95,104.80
2023-09-28 15:41:32,106.00,108.95,104.80
2023-09-28 18:46:56,105.85,108.95,104.80
2023-09-28 18:47:12,105.85,108.95,104.80
2023-09-29 10:10:25,105.10,109.95,105.00
