time,current price,day high,day low
2023-09-28 15:01:49,13.90,14.40,13.70
2023-09-28 15:02:08,13.90,14.40,13.70
2023-09-28 15:05:04,13.90,14.40,13.70
2023-09-28 15:24:28,13.90,14.40,13.70
2023-09-28 15:24:49,13.90,14.40,13.70
2023-09-28 15:29:25,13.90,14.40,13.70
2023-09-28 15:29:48,13.90,14.40,13.70
2023-09-28 15:38:49,13.90,14.40,13.70
2023-09-28 15:39:04,13.90,14.40,13.70
2023-09-28 15:41:17,13.90,14.40,13.70
2023-09-28 15:41:21,13.90,14.40,13.70
2023-09-28 18:46:34,13.90,14.40,13.70
2023-09-28 18:46:47,13.90,14.40,13.70
2023-09-29 10:10:12,14.39,14.45,14.39
2023-09-29 10:10:12,14.39,14.45,14.39
