time,current price,day high,day low
2023-09-28 15:01:46,28.57,29.98,28.57
2023-09-28 15:02:05,28.57,29.98,28.57
2023-09-28 15:05:01,29.50,29.98,28.57
2023-09-28 15:24:25,29.57,29.98,28.57
2023-09-28 15:24:45,29.57,29.98,28.57
2023-09-28 15:29:22,29.57,29.98,28.57
2023-09-28 15:29:45,29.57,29.98,28.57
2023-09-28 15:38:40,29.57,29.98,28.57
2023-09-28 15:38:54,29.57,29.98,28.57
2023-09-28 15:41:10,29.57,29.98,28.57
2023-09-28 15:41:17,29.57,29.98,28.57
2023-09-28 18:46:26,29.50,29.98,28.57
2023-09-28 18:46:39,29.50,29.98,28.57
2023-09-29 10:10:06,30.40,30.42,28.05
2023-09-29 10:10:07,30.40,30.42,28.05
