time,current price,day high,day low
2023-09-28 15:01:46,125.70,128.00,119.00
2023-09-28 15:02:05,125.70,128.00,119.00
2023-09-28 15:05:01,123.15,128.00,119.00
2023-09-28 15:24:25,128.70,128.70,119.00
2023-09-28 15:24:46,128.70,128.70,119.00
2023-09-28 15:29:22,125.50,128.70,119.00
2023-09-28 15:29:45,125.50,128.70,119.00
2023-09-28 15:38:40,125.50,128.70,119.00
2023-09-28 15:38:52,125.50,128.70,119.00
2023-09-28 15:41:10,125.50,128.70,119.00
2023-09-28 15:41:17,125.50,128.70,119.00
2023-09-28 18:46:26,127.30,128.70,119.00
2023-09-28 18:46:39,127.30,128.70,119.00
2023-09-29 10:10:06,125.00,125.55,123.65
2023-09-29 10:10:07,125.00,125.55,123.65
