time,current price,day high,day low
2023-09-28 15:01:40,56.00,61.99,53.00
2023-09-28 15:02:00,56.00,61.99,53.00
2023-09-28 15:04:54,56.00,61.99,53.00
2023-09-28 15:24:17,58.50,61.99,53.00
2023-09-28 15:24:40,58.50,61.99,53.00
2023-09-28 15:29:17,58.00,61.99,53.00
2023-09-28 15:29:39,58.00,61.99,53.00
2023-09-28 15:38:29,58.00,61.99,53.00
2023-09-28 15:38:43,58.00,61.99,53.00
2023-09-28 15:41:02,58.00,61.99,53.00
2023-09-28 15:41:09,58.00,61.99,53.00
2023-09-28 18:46:13,57.56,61.99,53.00
2023-09-28 18:46:27,57.56,61.99,53.00
2023-09-28 18:50:10,57.56,61.99,53.00
2023-09-29 10:09:57,56.09,59.95,54.56
2023-09-29 10:09:57,56.09,59.95,54.56
