time,current price,day high,day low
2023-09-28 15:01:22,57.10,59.00,57.05
2023-09-28 15:01:41,57.10,59.00,57.05
2023-09-28 15:04:30,57.10,59.00,57.05
2023-09-28 15:24:00,57.05,59.00,57.05
2023-09-28 15:24:19,57.05,59.00,57.05
2023-09-28 15:28:56,57.05,59.00,57.05
2023-09-28 15:29:18,57.05,59.00,57.05
2023-09-28 15:37:11,57.05,59.00,57.05
2023-09-28 15:37:24,57.05,59.00,57.05
2023-09-28 15:40:25,57.05,59.00,57.05
2023-09-28 15:40:33,57.05,59.00,57.05
2023-09-28 16:12:40,57.05,59.00,57.05
2023-09-28 16:12:53,57.05,59.00,57.05
2023-09-28 16:14:48,57.05,59.00,57.05
2023-09-28 16:14:58,57.05,59.00,57.05
2023-09-28 18:45:37,57.05,59.00,57.05
2023-09-28 18:45:45,57.05,59.00,57.05
2023-09-28 18:49:36,57.05,59.00,57.05
2023-09-29 10:09:12,56.95,58.90,56.94
2023-09-29 10:09:14,56.95,58.90,56.94
