time,current price,day high,day low
2023-09-28 15:01:46,112.60,114.70,111.15
2023-09-28 15:02:05,112.60,114.70,111.15
2023-09-28 15:05:01,112.30,114.70,111.15
2023-09-28 15:24:25,111.55,114.70,111.15
2023-09-28 15:24:46,111.55,114.70,111.15
2023-09-28 15:29:22,111.95,114.70,111.15
2023-09-28 15:29:45,111.95,114.70,111.15
2023-09-28 15:38:40,111.40,114.70,111.15
2023-09-28 15:38:52,111.40,114.70,111.15
2023-09-28 15:41:11,111.40,114.70,111.15
2023-09-28 15:41:17,111.40,114.70,111.15
2023-09-28 18:46:28,111.95,114.70,111.15
2023-09-28 18:46:39,111.95,114.70,111.15
2023-09-29 10:10:07,116.45,117.40,111.95
2023-09-29 10:10:07,116.45,117.40,111.95
