time,current price,day high,day low
2023-09-28 15:01:49,20.43,20.43,20.43
2023-09-28 15:02:08,20.43,20.43,20.43
2023-09-28 15:05:04,20.43,20.43,20.43
2023-09-28 15:24:28,20.43,20.43,20.43
2023-09-28 15:24:48,20.43,20.43,20.43
2023-09-28 15:29:25,20.43,20.43,20.43
2023-09-28 15:29:48,20.43,20.43,20.43
2023-09-28 15:38:48,20.43,20.43,20.43
2023-09-28 15:38:59,20.43,20.43,20.43
2023-09-28 15:41:16,20.43,20.43,20.43
2023-09-28 15:41:21,20.43,20.43,20.43
2023-09-28 18:46:33,20.43,20.43,20.43
2023-09-28 18:46:46,20.43,20.43,20.43
2023-09-29 10:10:12,20.43,20.43,20.43
2023-09-29 10:10:12,20.43,20.43,20.43
