time,current price,day high,day low
2023-09-28 15:01:38,10.90,11.47,10.90
2023-09-28 15:01:58,10.90,11.47,10.90
2023-09-28 15:04:52,10.90,11.47,10.90
2023-09-28 15:24:16,10.90,11.47,10.90
2023-09-28 15:24:38,10.90,11.47,10.90
2023-09-28 15:29:12,10.90,11.47,10.90
2023-09-28 15:29:37,10.90,11.47,10.90
2023-09-28 15:38:25,10.90,11.47,10.90
2023-09-28 15:38:38,10.90,11.47,10.90
2023-09-28 15:40:59,10.90,11.47,10.90
2023-09-28 15:41:07,10.90,11.47,10.90
2023-09-28 18:46:09,10.90,11.47,10.90
2023-09-28 18:46:24,10.90,11.47,10.90
2023-09-28 18:50:05,10.90,11.47,10.90
2023-09-29 10:09:54,10.75,11.40,10.36
2023-09-29 10:09:54,10.75,11.40,10.36
