time,current price,day high,day low
2023-09-28 15:01:32,277.65,281.20,273.50
2023-09-28 15:01:51,277.65,281.20,273.50
2023-09-28 15:04:44,277.60,281.20,273.50
2023-09-28 15:24:10,276.90,281.20,273.50
2023-09-28 15:24:31,276.90,281.20,273.50
2023-09-28 15:29:06,276.50,281.20,273.50
2023-09-28 15:29:29,276.50,281.20,273.50
2023-09-28 15:37:35,276.30,281.20,273.50
2023-09-28 15:38:25,276.30,281.20,273.50
2023-09-28 15:40:41,276.30,281.20,273.50
2023-09-28 15:40:56,276.30,281.20,273.50
2023-09-28 16:12:57,276.80,281.20,273.50
2023-09-28 16:15:12,276.80,281.20,273.50
2023-09-28 18:45:53,276.80,281.20,273.50
2023-09-28 18:46:03,276.80,281.20,273.50
2023-09-28 18:49:52,276.80,281.20,273.50
2023-09-29 10:09:32,276.30,279.95,274.30
2023-09-29 10:09:32,276.30,279.95,274.30
