time,current price,day high,day low
2023-09-28 15:01:38,188.75,192.00,188.75
2023-09-28 15:01:57,188.75,192.00,188.75
2023-09-28 15:04:51,188.75,192.00,188.75
2023-09-28 15:24:14,188.05,192.00,188.05
2023-09-28 15:24:37,188.05,192.00,188.05
2023-09-28 15:29:12,188.05,192.00,188.05
2023-09-28 15:29:35,188.05,192.00,188.05
2023-09-28 15:38:22,188.05,192.00,188.05
2023-09-28 15:38:36,188.05,192.00,188.05
2023-09-28 15:40:57,188.05,192.00,188.05
2023-09-28 15:41:05,188.05,192.00,188.05
2023-09-28 18:46:06,188.05,192.00,188.05
2023-09-28 18:46:22,188.05,192.00,188.05
2023-09-28 18:50:02,188.05,192.00,188.05
2023-09-29 10:09:47,192.20,195.15,187.00
2023-09-29 10:09:48,192.20,195.15,187.00
