time,current price,day high,day low
2023-09-28 15:01:45,299.90,308.00,297.25
2023-09-28 15:02:04,299.90,308.00,297.25
2023-09-28 15:05:00,299.90,308.00,297.25
2023-09-28 15:24:24,299.90,308.00,297.25
2023-09-28 15:24:45,299.90,308.00,297.25
2023-09-28 15:29:21,299.90,308.00,297.25
2023-09-28 15:29:45,299.90,308.00,297.25
2023-09-28 15:38:38,299.90,308.00,297.25
2023-09-28 15:38:51,299.90,308.00,297.25
2023-09-28 15:41:09,299.90,308.00,297.25
2023-09-28 15:41:16,299.90,308.00,297.25
2023-09-28 18:46:25,299.85,308.00,297.25
2023-09-28 18:46:37,299.85,308.00,297.25
2023-09-29 10:10:05,295.00,299.90,295.00
2023-09-29 10:10:05,295.00,299.90,295.00
