time,current price,day high,day low
2023-09-28 15:01:33,0.63,0.63,0.63
2023-09-28 15:01:52,0.63,0.63,0.63
2023-09-28 15:04:46,0.63,0.63,0.63
2023-09-28 15:24:11,0.63,0.63,0.63
2023-09-28 15:24:33,0.63,0.63,0.63
2023-09-28 15:29:07,0.63,0.63,0.63
2023-09-28 15:29:30,0.63,0.63,0.63
2023-09-28 15:37:39,0.63,0.63,0.63
2023-09-28 15:38:29,0.63,0.63,0.63
2023-09-28 15:40:44,0.63,0.63,0.63
2023-09-28 15:40:58,0.63,0.63,0.63
2023-09-28 16:13:02,0.63,0.63,0.63
2023-09-28 16:15:17,0.63,0.63,0.63
2023-09-28 18:45:56,0.63,0.63,0.63
2023-09-28 18:46:09,0.63,0.63,0.63
2023-09-28 18:49:54,0.63,0.63,0.63
2023-09-29 10:09:38,0.63,0.63,0.63
2023-09-29 10:09:38,0.63,0.63,0.63
