time,current price,day high,day low
2023-09-28 15:01:30,88.50,92.00,88.50
2023-09-28 15:01:49,88.50,92.00,88.50
2023-09-28 15:04:41,88.50,92.00,88.50
2023-09-28 15:24:08,89.00,92.00,88.50
2023-09-28 15:24:29,89.00,92.00,88.50
2023-09-28 15:29:03,89.00,92.00,88.50
2023-09-28 15:29:27,89.00,92.00,88.50
2023-09-28 15:37:28,89.00,92.00,88.50
2023-09-28 15:37:49,89.00,92.00,88.50
2023-09-28 15:40:37,89.00,92.00,88.50
2023-09-28 15:40:48,89.00,92.00,88.50
2023-09-28 16:12:53,89.00,92.00,88.50
2023-09-28 16:15:02,89.00,92.00,88.50
2023-09-28 16:15:22,89.00,92.00,88.50
2023-09-28 18:45:49,89.00,92.00,88.50
2023-09-28 18:45:58,89.00,92.00,88.50
2023-09-28 18:49:48,89.00,92.00,88.50
2023-09-29 10:09:26,90.00,90.28,86.25
2023-09-29 10:09:27,90.00,90.28,86.25
