time,current price,day high,day low
2023-09-28 15:01:29,39.00,39.49,39.00
2023-09-28 15:01:47,39.00,39.49,39.00
2023-09-28 15:04:39,39.00,39.49,39.00
2023-09-28 15:24:07,39.00,39.49,39.00
2023-09-28 15:24:28,39.00,39.49,39.00
2023-09-28 15:29:02,39.00,39.49,39.00
2023-09-28 15:29:26,39.00,39.49,39.00
2023-09-28 15:37:26,39.00,39.49,39.00
2023-09-28 15:37:46,39.00,39.49,39.00
2023-09-28 15:40:36,39.00,39.49,39.00
2023-09-28 15:40:46,39.00,39.49,39.00
2023-09-28 16:12:51,39.00,39.49,39.00
2023-09-28 16:15:01,39.00,39.49,39.00
2023-09-28 16:15:18,39.00,39.49,39.00
2023-09-28 18:45:48,39.00,39.49,39.00
2023-09-28 18:45:56,39.00,39.49,39.00
2023-09-28 18:49:46,39.00,39.49,39.00
2023-09-29 10:09:25,39.00,39.49,39.00
2023-09-29 10:09:25,39.00,39.49,39.00
