time,current price,day high,day low
2023-09-28 15:01:34,87.46,87.46,83.00
2023-09-28 15:01:53,87.46,87.46,83.00
2023-09-28 15:04:47,87.46,87.46,83.00
2023-09-28 15:24:12,87.46,87.46,83.00
2023-09-28 15:24:33,87.46,87.46,83.00
2023-09-28 15:29:09,87.46,87.46,83.00
2023-09-28 15:29:31,87.46,87.46,83.00
2023-09-28 15:37:43,87.46,87.46,83.00
2023-09-28 15:38:30,87.46,87.46,83.00
2023-09-28 15:40:46,87.46,87.46,83.00
2023-09-28 15:40:59,87.46,87.46,83.00
2023-09-28 16:13:04,87.46,87.46,83.00
2023-09-28 16:15:17,87.46,87.46,83.00
2023-09-28 18:45:57,87.46,87.46,83.00
2023-09-28 18:46:12,87.46,87.46,83.00
2023-09-28 18:49:55,87.46,87.46,83.00
2023-09-29 10:09:40,91.83,91.83,89.25
2023-09-29 10:09:40,91.83,91.83,89.25
