time,current price,day high,day low
2023-09-28 15:01:32,764.45,769.10,755.75
2023-09-28 15:01:50,764.45,769.10,755.75
2023-09-28 15:04:43,765.80,769.10,755.75
2023-09-28 15:24:09,763.80,769.10,755.75
2023-09-28 15:24:30,763.80,769.10,755.75
2023-09-28 15:29:05,758.65,769.10,755.75
2023-09-28 15:29:28,758.65,769.10,755.75
2023-09-28 15:37:31,758.65,769.10,755.75
2023-09-28 15:38:23,758.65,769.10,755.75
2023-09-28 15:40:39,758.65,769.10,755.75
2023-09-28 15:40:53,758.65,769.10,755.75
2023-09-28 16:12:55,758.65,769.10,755.75
2023-09-28 16:15:08,758.65,769.10,755.75
2023-09-28 16:15:24,758.65,769.10,755.75
2023-09-28 18:45:51,763.15,769.10,755.75
2023-09-28 18:46:03,763.15,769.10,755.75
2023-09-28 18:49:50,763.15,769.10,755.75
2023-09-29 10:09:30,765.00,768.35,752.05
2023-09-29 10:09:30,765.00,768.35,752.05
