time,current price,day high,day low
2023-09-28 15:01:55,26.41,27.49,26.32
2023-09-28 15:02:13,26.41,27.49,26.32
2023-09-28 15:05:13,26.29,27.49,26.25
2023-09-28 15:24:34,26.50,27.49,26.23
2023-09-28 15:24:54,26.50,27.49,26.23
2023-09-28 15:29:30,26.60,27.49,26.23
2023-09-28 15:29:55,26.60,27.49,26.23
2023-09-28 15:39:03,26.70,27.49,26.23
2023-09-28 15:39:26,26.70,27.49,26.23
2023-09-28 18:46:48,26.38,27.49,26.23
2023-09-28 18:47:04,26.38,27.49,26.23
2023-09-29 10:10:21,26.30,26.75,26.25
2023-09-29 10:10:21,26.30,26.75,26.25
