time,current price,day high,day low
2023-09-28 15:01:29,35.00,36.30,35.00
2023-09-28 15:01:48,35.00,36.30,35.00
2023-09-28 15:04:40,35.01,36.30,35.00
2023-09-28 15:24:07,34.85,36.30,34.80
2023-09-28 15:24:28,34.85,36.30,34.80
2023-09-28 15:29:03,35.00,36.30,34.80
2023-09-28 15:29:26,35.00,36.30,34.80
2023-09-28 15:37:26,35.00,36.30,34.80
2023-09-28 15:37:48,35.00,36.30,34.80
2023-09-28 15:40:37,35.00,36.30,34.80
2023-09-28 15:40:47,35.00,36.30,34.80
2023-09-28 16:12:52,34.98,36.30,34.80
2023-09-28 16:15:02,34.98,36.30,34.80
2023-09-28 16:15:20,34.98,36.30,34.80
2023-09-28 18:45:49,34.98,36.30,34.80
2023-09-28 18:45:56,34.98,36.30,34.80
2023-09-28 18:49:47,34.98,36.30,34.80
2023-09-29 10:09:26,35.00,35.37,34.51
2023-09-29 10:09:26,35.00,35.37,34.51
