time,current price,day high,day low
2023-09-28 15:01:47,62.29,63.84,62.10
2023-09-28 15:02:06,62.29,63.84,62.10
2023-09-28 15:05:02,62.29,63.84,62.10
2023-09-28 15:24:26,62.40,63.84,62.10
2023-09-28 15:24:46,62.40,63.84,62.10
2023-09-28 15:29:23,62.13,63.84,62.10
2023-09-28 15:29:46,62.13,63.84,62.10
2023-09-28 15:38:45,62.13,63.84,62.10
2023-09-28 15:38:54,62.13,63.84,62.10
2023-09-28 15:41:12,62.13,63.84,62.10
2023-09-28 15:41:18,62.13,63.84,62.10
2023-09-28 18:46:28,62.16,63.84,62.10
2023-09-28 18:46:42,62.16,63.84,62.10
2023-09-29 10:10:08,63.32,63.57,62.46
2023-09-29 10:10:08,63.32,63.57,62.46
