Stock Code,Stock Name,Current Value,Change,Percentage Change,Market Cap,Industry,Day High,Day Low,Month High/Low
519183,Adf Foods Ltd.-$,1087.65,6.05,0.56,1104.05,1079.80,,,B  / S&P BSE SmallCap
519183,Adf Foods Ltd.-$,1087.65,6.05,0.56,1104.05,1079.80,,,B  / S&P BSE SmallCap
539189,Adhbhut Infrastructure Ltd,345.60,0.00,0.00,345.60,345.60,,,Z  /
539189,Adhbhut Infrastructure Ltd,345.60,0.00,0.00,345.60,345.60,,,Z  /
538365,Adhunik Industries Ltd,29.63,0.23,0.78,31.54,29.41,,,B  /
538365,Adhunik Industries Ltd,29.63,0.23,0.78,31.54,29.41,,,B  /
530117,Adi Finechem Ltd.,1204.70,24.80,2.10,1229.00,1181.95,,,A  / S&P BSE 500
530117,Adi Finechem Ltd.,1204.70,24.80,2.10,1229.00,1181.95,,,A  / S&P BSE 500
531592,Adi Rasayan Ltd.,3.85,0.25,6.94,4.09,3.67,,,X  /
531592,Adi Rasayan Ltd.,3.85,0.25,6.94,4.09,3.67,,,X  /
532056,Adinath Exim Resources Ltd.,16.10,-0.40,-2.42,17.00,16.10,,,XT /
532056,Adinath Exim Resources Ltd.,16.10,-0.40,-2.42,17.00,16.10,,,XT /
514113,Adinath Textiles Ltd.,25.50,-0.43,-1.66,26.19,24.77,,,XT /
514113,Adinath Textiles Ltd.,25.50,-0.43,-1.66,26.19,24.77,,,XT /
535755,Aditya Birla Fashion And Retail Ltd,219.00,0.80,0.37,220.25,216.85,,,A  / S&P BSE 200
535755,Aditya Birla Fashion And Retail Ltd,219.00,0.80,0.37,220.25,216.85,,,A  / S&P BSE 200
